Province_State,Party,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20,7/10/20,7/11/20,7/12/20,7/13/20,7/14/20,7/15/20,7/16/20,7/17/20,7/18/20,7/19/20,7/20/20,7/21/20,7/22/20,7/23/20,7/24/20,7/25/20,7/26/20,7/27/20,7/28/20,7/29/20,7/30/20,7/31/20,8/1/20,8/2/20,8/3/20,8/4/20,8/5/20,8/6/20,8/7/20,8/8/20,8/9/20,8/10/20,8/11/20,8/12/20,8/13/20,8/14/20,8/15/20,8/16/20,8/17/20,8/18/20,8/19/20,8/20/20,8/21/20,8/22/20,8/23/20,8/24/20,8/25/20,8/26/20,8/27/20,8/28/20,8/29/20,8/30/20,8/31/20,9/1/20,9/2/20,9/3/20,9/4/20,9/5/20,9/6/20,9/7/20,9/8/20,9/9/20,9/10/20,9/11/20,9/12/20,9/13/20,9/14/20,9/15/20,9/16/20,9/17/20,9/18/20,9/19/20,9/20/20,9/21/20
Georgia,Republican,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,5,5,10,17,23,31,42,73,99,121,146,197,287,485,555,621,772,1026,1247,1525,2000,2366,2651,2808,3929,4638,5348,5831,6160,6647,7314,8822,9901,10566,11485,12159,12452,13315,14578,14987,15669,17194,17669,18301,19407,19881,21214,21883,22491,23222,23486,24302,24922,25775,26264,27489,28331,28665,29451,29998,30743,31618,32181,32588,33580,34002,34924,35427,35977,36772,37212,37579,38283,38855,39801,40663,41482,42242,42902,43400,43983,44638,45266,45881,46331,47063,47902,48207,48894,49859,50621,51359,51898,52497,53249,53980,54973,55783,56804,57681,58414,59078,60030,60912,62009,63809,64701,65928,67810,69381,71095,72995,74985,77210,79417,81291,84242,87709,90493,93319,95516,97064,100470,103890,106727,111217,114401,116935,120572,123963,127838,131287,135192,139880,143129,145582,148988,152302,156607,161420,165188,167953,170843,175052,178323,182286,186352,190012,193177,195435,197948,201713,204895,209004,213427,216596,219025,222588,226153,228668,231895,235168,237030,238861,241677,243982,246741,249630,252222,253949,256253,258354,260590,263074,265372,267758,268973,270471,272697,274613,277288,279354,281548,283199,283807,285350,287300,289123,290781,292905,294314,295337,296994,299056,300903,302854,305021,306155,307339
Hawaii,Democratic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,2,2,2,4,6,8,10,15,25,36,36,53,56,90,91,95,106,149,149,175,204,224,256,319,351,371,387,410,410,442,442,465,499,504,511,524,530,541,574,580,584,586,592,596,601,605,606,607,609,613,618,619,620,620,621,625,626,629,629,631,632,634,635,638,637,638,639,640,640,641,643,647,642,643,643,643,643,644,647,649,651,652,652,653,653,655,664,673,675,676,682,685,692,706,723,728,736,736,744,762,789,789,814,816,819,835,851,866,872,899,900,917,926,946,975,999,1023,1030,1071,1094,1130,1158,1200,1220,1243,1264,1292,1311,1334,1354,1381,1393,1418,1435,1490,1549,1620,1683,1711,1757,1865,1989,2111,2197,2242,2448,2591,2763,2914,3115,3346,3498,3638,3756,3958,4312,4543,4825,5042,5215,5349,5609,5844,6072,6356,6600,6769,6984,7260,7566,7830,8139,8339,8472,8653,8991,9202,9473,9693,9855,9959,10025,10123,10292,10459,10588,10700,10779,10844,10946,11105,11217,11326,11403,11459
Idaho,Republican,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,4,8,9,23,36,42,42,68,81,91,146,205,234,281,340,515,566,776,891,1022,1078,1101,1170,1210,1232,1354,1396,1407,1426,1464,1473,1587,1609,1655,1668,1672,1736,1766,1836,1870,1887,1897,1897,1952,1952,1984,2015,2061,2061,2106,2127,2158,2178,2178,2205,2230,2260,2293,2293,2351,2351,2419,2419,2455,2455,2506,2506,2595,2595,2626,2626,2626,2699,2770,2770,2803,2839,2839,2933,2933,2990,3111,3139,3139,3189,3221,3260,3260,3353,3353,3399,3399,3462,3632,3743,3871,4004,4006,4256,4254,4402,4865,4865,5322,5322,5752,6117,6370,6593,6994,7370,7733,8052,8539,8969,9429,9929,10506,10903,11404,11720,12449,13134,13753,14303,14874,15268,15823,16322,16737,17265,17826,18178,18692,19220,19674,20242,20716,21110,21110,21670,22236,22708,23401,23925,24497,24675,25104,25598,26134,26629,27171,27475,27656,27937,28321,28680,29110,29364,29659,29845,30057,30465,30771,31113,31376,31668,31858,32081,32353,32664,32927,33193,33474,33664,33738,33978,34300,34617,34950,35167,35279,35532,35810,36093,36489,36959,37247,37491,37901
Illinois,Democratic,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,4,5,5,6,7,7,12,25,32,46,64,66,83,161,272,422,585,753,1049,1285,1537,1865,2538,3024,3491,4596,5056,5994,6980,7695,8904,10357,11259,12262,13553,15078,16422,17887,19180,20852,22025,23248,24593,25734,27578,29160,30357,31513,33059,35107,36937,39658,41777,43903,45883,48102,50358,52918,56055,58505,61499,63777,65889,68232,70871,73760,76085,77741,79007,83021,84694,87937,90369,92457,94191,96485,98030,100418,102688,105444,107796,110304,112017,113195,114306,115833,117455,118917,120260,121234,122848,123830,124759,125915,126890,127757,128415,129212,129837,130603,131198,131871,132543,133016,133639,134185,134778,135470,136104,136762,137224,137825,138540,139434,140291,141077,141723,142461,143185,144013,144882,145750,146612,147251,147865,149574,150554,151572,152899,154094,155048,155931,156638,157825,159082,160509,161785,162750,163922,164864,166475,168096,169696,171122,172663,173894,174968,176363,178135,180115,181754,183224,184522,185993,187752,189705,191808,193998,195380,196699,198248,199893,201727,204023,205851,207412,209185,210924,213220,215052,217345,219701,221594,223206,224887,227043,228750,231186,233066,235058,236724,238216,240344,241704,247298,250102,251515,252884,254276,255613,257566,259879,261999,263459,264831,266295,268238,270294,272517,275041,276443,277920
Indiana,Republican,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,6,11,13,13,16,20,25,30,38,60,86,128,204,270,368,477,645,979,1233,1513,1786,2158,2564,3038,3437,3953,4411,4956,5510,5943,6351,6907,7435,7928,8359,8527,8960,9542,10154,10641,11211,11688,12097,12438,13039,13681,14399,15012,15961,16588,17182,17835,18630,19295,19933,20507,21033,21870,22503,23146,23732,24126,24627,25127,25473,26053,26656,27280,27778,28255,28705,29274,29936,30409,30901,31376,31715,32078,32437,33068,33558,34211,34574,34830,35237,35712,36096,36578,36997,37397,37623,38033,38337,38748,39146,39543,39909,40430,40786,41013,41438,41746,42061,42423,42633,42871,43140,43655,44140,44575,44930,45228,45594,45952,46387,46915,47432,48201,48524,48626,49063,49575,50300,51079,51612,52037,52685,53370,54080,54813,55654,56571,57206,57916,58673,59602,60598,61520,62372,62907,63678,64299,65253,66154,67122,67857,68433,69255,69975,71015,72254,73287,74328,74992,75862,76522,77565,78632,79676,80415,81006,81847,82336,83277,84317,85317,85932,87592,88421,89359,90504,91313,92434,93313,94196,94891,95750,96854,97884,98961,99804,100394,100780,101485,102243,103505,104561,105804,106540,107229,107809,108646,109683,110759,111505,112027
Iowa,Republican,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,13,14,17,17,18,23,23,38,44,45,69,90,105,124,146,179,235,298,336,424,497,547,614,699,787,869,946,1046,1145,1270,1388,1510,1587,1710,1899,1995,2141,2332,2513,2902,3159,3641,3748,3924,4445,5092,5476,5868,6376,6843,7145,7884,8643,9175,9703,10111,10404,11059,11457,11671,11959,12373,12912,13289,13675,14049,14328,14651,14955,15296,15620,16170,16492,16898,17251,17557,17703,18369,18586,18957,19244,19552,19699,20019,20300,20806,21154,21478,21712,22007,22237,22626,22973,23350,23717,23926,24082,24179,24460,24861,25274,25496,25963,26146,26469,26601,27373,27717,28073,28520,28845,29074,29514,30259,30463,31061,31517,31758,32153,32624,33254,34172,34658,35410,35631,35866,36536,37350,37903,38313,38813,39343,39721,40208,40796,41434,41886,42357,42696,42928,43623,44285,44753,45293,45723,45905,46231,46836,47559,48040,48535,48919,49165,49521,49973,50373,51247,52065,52447,52829,53201,53523,54533,55331,55996,56446,56909,57606,58807,61488,62828,63612,64599,65139,65847,66463,67691,68744,69690,70215,70537,71019,71595,72458,73399,74205,74676,75064,75721,76652,77204,78839,79804,80410,81007
Kansas,Democratic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,6,8,8,11,18,22,35,48,57,65,84,100,134,172,206,266,330,372,434,485,553,629,698,751,849,912,1046,1116,1117,1275,1344,1390,1441,1504,1615,1730,1821,1905,2048,2164,2331,2721,2959,3135,3277,3473,3652,3839,4413,4634,4885,5156,5383,5648,5993,6332,6667,6829,6951,7159,7240,7518,7705,7886,7939,7953,8303,8353,8507,8625,8909,8946,9004,9125,9199,9291,9371,9662,9690,9700,9920,9965,10092,10167,10306,10361,10406,10544,10609,10750,10823,10973,11020,11101,11319,11411,11644,11753,12021,12097,12136,12428,12537,12930,13107,13462,13617,13847,14209,14370,14830,15002,15659,15911,16081,16638,16860,17332,17785,18303,18687,18981,19645,19887,20349,20817,21388,21693,21996,22656,22929,23481,23956,24554,25009,25290,25804,26058,26591,26885,27364,27592,27871,28432,28782,29256,29617,30137,30463,30662,31183,31468,32097,32484,33030,33885,33885,34614,34874,35419,35907,36895,37388,37658,38546,38861,39880,40360,41050,41595,41761,42599,42962,43847,44394,45365,45656,45830,46337,47012,47424,47802,48370,48658,48766,49660,49989,50720,51164,52125,52486,52700,53627
Kentucky,Democratic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,5,8,10,14,16,18,21,26,28,50,64,87,103,123,162,197,247,301,380,438,479,628,632,770,770,917,955,955,1149,1149,1341,1693,1693,1963,2018,2048,2210,2435,2522,2707,2960,3050,3204,3378,3479,3779,3915,4085,4156,4375,4537,4708,4882,4879,5130,5245,5822,5934,6129,6288,6440,6440,6677,6853,6853,7225,7444,7688,7688,7935,8069,8167,8286,8426,8571,8571,8571,8951,9077,9185,9464,9704,9704,10046,10185,10410,10705,10977,11287,11287,11476,11707,11883,11945,12166,12445,12445,12647,12647,12995,13197,13454,13630,13750,13839,14141,14363,14617,14859,15167,15232,15347,15624,15842,16079,16376,16376,16376,17152,17519,17919,18245,18672,19121,19389,19653,20223,20677,21083,21605,22184,23161,23414,24060,24540,25147,25932,26764,27082,27586,28111,28727,29386,30151,30723,31185,31508,32197,32741,33254,33796,34578,34982,35254,35793,36945,37686,38298,38930,38930,39691,40299,40926,41626,42265,43066,43066,43898,44568,45230,45978,46757,47577,48031,48396,49185,49991,50885,51677,52464,52774,53064,53319,53977,54772,55704,56415,56945,57282,58000,58764,59370,60128,61106,61542,61917
Louisiana,Democratic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,19,29,77,87,115,196,257,392,537,763,837,1172,1388,1795,2304,2744,3315,3540,4025,5237,6424,9149,10297,12496,13010,14867,16284,17030,18283,19253,20014,20595,21016,21518,21951,22532,23118,23580,23928,24523,24854,25258,25739,26140,26512,26773,27068,27286,27660,28001,28711,29140,29340,29673,29996,30399,30652,30855,31417,31600,31815,32050,32662,33489,33837,34117,34432,34709,35038,35316,36504,36925,36925,37169,37809,38054,38497,38802,38802,39577,39916,40341,40746,41133,41562,41989,42486,42816,43050,43612,44030,44472,44995,46283,46619,47172,47706,48634,48634,48515,49385,49778,50239,51595,52477,53415,54769,54769,56236,57081,58095,60178,61561,63289,63289,65226,66327,68263,70151,71994,74636,76803,78122,79827,82042,84131,86411,88590,88590,91706,94892,96583,99354,101650,103734,103734,107574,109917,111038,112773,114481,116280,116280,119747,120846,124461,125943,127246,128746,128746,131399,131961,133125,134304,135439,136737,136737,137918,138485,139125,139903,140821,141720,141720,142943,143566,144116,144960,145637,146243,146243,147867,148193,148882,149838,150651,151473,151473,152868,153177,153433,154955,155419,156174,156174,157455,157947,158318,158826,159304,160283,160283,161219,161462
Maine,Democratic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,2,17,26,35,52,56,70,89,107,118,142,155,168,211,253,275,303,303,376,432,456,470,499,519,537,560,586,616,633,698,735,770,796,827,847,867,875,888,907,937,965,965,1015,1023,1040,1056,1095,1123,1153,1185,1205,1226,1254,1330,1374,1408,1436,1462,1477,1515,1565,1603,1648,1687,1713,1741,1819,1877,1948,2013,2055,2074,2109,2137,2189,2226,2282,2325,2349,2377,2418,2446,2482,2524,2570,2588,2606,2637,2667,2721,2757,2793,2810,2819,2836,2878,2913,2938,2957,2971,2996,3017,3070,3102,3154,3191,3219,3253,3294,3328,3373,3397,3415,3423,3440,3460,3486,3499,3520,3539,3558,3566,3578,3598,3636,3645,3687,3711,3723,3722,3737,3757,3790,3814,3832,3838,3866,3888,3912,3937,3958,3970,3977,3994,3999,4016,4028,4044,4051,4052,4070,4089,4116,4144,4168,4197,4213,4235,4253,4286,4318,4336,4357,4369,4389,4414,4436,4492,4514,4529,4549,4568,4618,4633,4633,4683,4701,4714,4713,4760,4792,4834,4863,4904,4918,4941,4962,5002,5034,5077,5106
Maryland,Republican,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,5,8,9,12,18,27,24,42,60,85,107,149,193,244,290,349,425,583,775,995,1239,1413,1660,1986,2331,2758,3125,3617,4045,4371,5529,6185,6968,7694,8225,8936,9472,10032,10784,11572,12326,12847,13684,14193,14775,15737,16616,17766,18581,19487,20113,20849,21742,23472,24473,25462,26408,27117,28163,29374,30485,31534,32587,33373,34061,34812,35903,36986,37968,38804,39762,41546,42323,43531,44424,45495,46313,47152,47687,48423,49709,50988,52015,52778,53327,54175,54982,55858,56770,57482,57973,58404,58904,59465,60197,60613,61305,61701,62032,62409,62969,63229,63548,63956,64306,64603,65007,65337,65777,66115,66450,66777,67254,67559,67918,68423,68961,69341,69632,69904,70396,70861,71447,71910,72467,73109,73527,74260,75016,75664,76371,77206,78131,78685,79545,80172,80836,81766,83054,83748,84876,85524,86285,87177,88346,89365,90274,91144,91854,92426,93005,93806,94581,95503,96258,96843,97384,98160,98875,99693,100212,100715,101235,101649,102229,102899,103523,104102,104669,105046,105486,106063,106664,107294,107791,108249,108863,109319,110012,110831,111607,112119,112883,113239,113575,114078,114724,115533,116110,116646,117245,117888,118519,119062,119744,120156,120568
Massachusetts,Republican,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,6,6,22,22,41,92,107,123,138,138,187,217,252,328,413,523,640,777,1159,1838,2417,3240,4257,4955,5752,6620,7738,8966,10402,11736,12500,13837,15202,16790,18941,20974,22860,25475,26867,28164,29919,32181,34985,36963,38674,40252,41832,43614,46727,51700,54135,55753,57295,59193,61201,63211,65388,67438,69318,70388,71654,73538,75338,77090,78561,79676,80409,81370,82657,84460,85786,87374,88500,89566,90521,91654,92860,93796,94641,95708,96366,96826,97428,98198,98880,99773,100468,100805,101163,101592,102063,102557,103132,103436,103626,103889,104156,104667,105059,105395,105603,105690,105885,106151,106422,106650,106936,107061,107210,107439,107611,107837,108070,108443,108667,108768,108882,109143,109338,109628,109838,109974,110137,110338,110602,110897,111110,111398,111597,111827,112130,112347,112581,112879,113238,113534,113789,114033,114320,114647,114985,115268,115637,115926,116182,116684,117098,117612,118040,118458,118657,119203,119643,119874,120291,120711,121040,121315,121707,122000,122423,122728,123199,123593,123841,124063,124415,124728,125216,125360,125360,126022,126420,126756,127124,127584,128030,128229,128533,128888,129182,121546,121758,122196,122562,122791,122962,123143,123546,123986,124540,124826,125080,125393,125699,126128,126582,127181,127540,127796
Michigan,Democratic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,24,36,45,76,90,159,314,471,625,1131,1454,1942,2468,3032,3848,4890,5753,6803,7951,9717,11230,13221,14735,16268,17820,19644,21076,22297,23279,24500,25183,26622,28042,29144,29966,31225,32031,32688,33324,34048,35404,36845,38330,38789,39540,40034,41166,42379,43478,44524,45424,46047,46348,46914,47738,48412,49170,49676,50086,50631,51263,51819,53167,53810,54315,54963,55855,56465,57322,57988,58543,59046,59395,59621,59974,60592,61116,61833,62225,62711,62928,63240,63657,63979,64821,64914,64969,65104,65167,65182,65449,65672,65836,66054,66085,66269,66497,66798,67097,67545,67711,67957,68197,68555,68989,69329,69679,69946,70223,70728,71089,71678,72175,72581,72941,73267,73900,74551,75063,75685,76370,76776,77198,77864,78913,79839,80593,81338,81868,82395,83059,83730,84431,85072,85622,86661,87173,87958,88974,89781,90574,91332,91758,92374,93175,93893,94656,95470,96191,96726,97306,98213,98689,99856,100724,101782,102259,102749,103402,104091,104618,104618,106044,106808,107686,108637,109480,110343,111136,111136,112526,113025,113820,114468,115242,116295,117191,117191,118403,118902,119872,120846,122251,123058,123058,124287,124976,125742,126722,127500,128087,128087,129662
Minnesota,Democratic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,5,9,14,21,21,53,59,77,89,113,134,167,234,261,286,344,396,441,503,576,629,689,742,788,865,935,986,1069,1154,1240,1336,1427,1621,1621,1695,1809,1809,2070,2209,2356,2470,2567,2722,2942,3185,3446,3602,3811,4181,4644,5136,5730,6232,6663,7234,7851,8579,9365,10088,10790,11271,11799,12494,12917,13435,14240,14969,15668,16372,17029,17670,18200,19005,19845,20573,21315,21960,22464,22947,23531,24190,24850,25208,25508,25870,26273,26980,27501,27886,28224,28523,28869,29316,29795,30172,30471,30693,30882,31296,31675,32031,32467,32920,33227,33469,33763,34123,34616,35033,35549,35861,36303,36716,37210,37624,37624,38136,38569,39133,39589,40163,40767,41571,42281,42772,43170,43742,44347,45013,45470,46204,47107,47457,47961,48721,49488,50291,51153,51803,52281,52947,53692,54463,55188,55947,56560,57162,57779,58640,59185,60101,60898,61516,61839,62303,62993,63723,64413,65152,65716,66092,66618,67308,68133,68867,69584,70298,70707,71236,72390,73240,74257,75189,75864,76355,77085,78123,78966,79880,80587,81225,81608,81868,82249,82716,83588,84311,84949,85351,85813,86722,87807,88721,90017,90942
Mississippi,Republican,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,6,12,21,34,50,80,140,207,249,320,377,485,579,663,759,847,937,1073,1177,1358,1455,1638,1738,1915,2003,2260,2469,2642,2781,2942,3087,3360,3624,3793,3974,4274,4512,4716,4894,5153,5434,5718,5911,6094,6342,6569,6815,7212,7441,7550,7877,8207,8424,8686,9090,9378,9501,9674,9908,10090,10483,10801,11123,11296,11432,11704,11967,12222,12625,13005,13260,13458,13731,14044,14372,14793,15229,15523,15752,16041,16322,16560,16769,17039,17270,17768,18123,18483,18483,19091,19348,19516,19799,20152,20641,20641,20641,20641,20641,22329,22898,23424,24516,25066,25531,25892,26567,27247,27900,28770,29684,30674,30900,31257,32214,32888,33591,34622,35419,36287,36680,37542,38567,39797,40829,41846,42638,43889,45524,47071,48053,49585,50981,52154,52781,54085,55804,57579,58747,59881,60553,61125,62199,63444,64400,65436,66646,67173,67649,68293,69374,69986,70930,71755,72136,72412,73207,74555,75449,76323,77268,77894,78405,79206,80110,80695,81294,82029,82676,82950,83584,84365,85116,85939,86478,86888,87130,87379,87805,88322,89175,89620,89874,90018,90523,91234,91935,92432,93087,93364,93556
Missouri,Republican,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,4,4,5,8,14,21,42,79,89,122,225,291,382,577,744,864,934,1289,1550,1803,2003,2124,2472,2568,3030,3327,3511,3754,4149,4395,4534,4714,4880,5005,5308,5520,5713,5881,6043,6242,6433,6700,6943,7108,7275,7444,7591,7761,7956,8190,8449,8712,8998,9195,9447,9683,9829,9988,10105,10212,10329,10520,10684,10873,11049,11172,11320,11452,11628,11775,11986,12145,12394,12549,12721,12872,13083,13233,13400,13573,13787,14055,14298,14586,14753,15042,15132,15355,15566,15754,15946,15997,16232,16262,16611,16857,17069,17371,17667,18057,18460,18593,19005,19123,19637,20216,20572,20796,21315,21812,22104,22636,23160,23583,23816,24211,24918,25590,26410,27069,27606,27880,28289,29240,30057,30873,31738,32704,33521,34102,35194,36497,38060,39635,41034,42160,43489,45181,46942,49139,50616,51632,52184,53214,54422,55614,56773,57837,58021,59383,60359,61440,62956,64429,65793,67004,68196,69225,70055,71285,72353,73623,74952,75783,76597,77390,78743,80214,81672,83168,84474,85635,86738,88216,89639,91228,93171,94492,95406,96181,97504,98738,100268,102290,103997,105278,106637,107853,109557,111390,112864,114170,115537
Montana,Democratic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6,6,8,10,11,20,27,34,34,51,65,90,109,129,154,171,198,208,241,243,265,286,299,319,332,354,365,377,387,394,399,404,415,422,426,433,433,437,439,442,444,445,448,449,451,451,453,453,455,455,457,456,456,456,458,458,458,459,461,462,462,466,468,468,470,471,478,479,479,479,479,479,479,481,485,493,505,515,519,523,525,539,541,540,545,548,554,561,563,573,588,601,609,614,630,655,666,698,717,734,743,766,803,829,852,863,919,967,1016,1083,1128,1167,1212,1249,1327,1371,1466,1593,1677,1758,1843,1952,2096,2231,2366,2471,2533,2620,2711,2812,2909,3038,3259,3341,3380,3474,3676,3814,3965,4081,4193,4233,4314,4429,4602,4757,4889,4952,5017,5104,5268,5407,5541,5659,5750,5792,5846,5956,6072,6216,6376,6429,6489,6624,6785,6929,7063,7251,7340,7421,7509,7691,7871,8019,8164,8264,8316,8381,8468,8663,8785,8925,9021,9107,9244,9431,9647,9871,10163,10299,10429
Nebraska,Republican,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,5,10,14,18,17,18,23,24,29,37,38,51,51,66,71,74,82,96,108,145,172,210,246,279,321,364,417,447,519,568,635,699,791,814,897,901,952,1066,1249,1474,1648,1685,1813,2202,2424,2719,3030,3358,3517,3851,4281,5008,5317,5661,6037,6373,6689,7334,7818,8093,8171,8407,8532,8912,9260,9610,10220,10177,10625,10854,11122,11427,11662,11963,12134,12362,12619,12984,13249,13648,13905,14101,14345,14616,14885,15139,15406,15572,15664,15786,15918,16058,16315,16522,16640,16730,16851,17038,17231,17414,17588,17707,17812,17963,18099,18221,18346,18524,18775,18899,19042,19177,19310,19452,19660,19827,19929,20046,20201,20425,20623,20777,20998,21172,21399,21717,21979,22134,22361,22481,22583,22847,23190,23486,23818,24174,24395,24618,24899,25157,25422,25766,26211,26391,26702,26956,27178,27489,27821,28104,28245,28432,28696,29030,29244,29660,29988,30241,30372,30563,30825,31040,31348,31626,31780,31889,32047,32348,32727,33101,33436,33753,34046,34287,34574,34995,35469,35661,35805,35886,35975,36469,36917,37373,37851,38120,38188,38642,38970,39419,39921,40387,40797,41083,41388
